Data;Õtem;Respons·vel;Curso;Valor
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;TÈcnico em Desenvolvimento de Sistemas;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind˙strial Almoxarifado;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 312,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;TÈcnico em MecatrÙnica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;TÈcnico em EletrÙnica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;TÈcnico em EletrÙnica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;TÈcnico em MecatrÙnica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;TÈcnico em EletrÙnica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;TÈcnico em EletrÙnica;R$ 327,00 
04/05/2021;MESA PARA INFORM√ÅTICA - L166 ARTICO -;Daniel;TÈcnico em Desenvolvimento de Sistemas;R$ 327,00 
23/04/2021;PAQU√çMETRO QUADRID.UNIV. 150MM-0,05MM - MITUTOYO;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 74,98 
23/04/2021;ARM√ÅRIO PARA VESTI√ÅRIO EM LAMINADO;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 974,00 
23/04/2021;ARM√ÅRIO ALTO POST FORMING PARA PASTA SUS;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.176,00 
22/04/2021;CONJUNTO DE TORRE DE MOTORES (ANEXO);Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 2.657,00 
17/04/2021;ESTA√á√ÉO DIGITAL DE RETRABALHO;Daniel;TÈcnico em MecatrÙnica;R$ 180,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;Aprendizagem Ind˙strial Almoxarifado;R$ 40,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;Aprendizagem Ind˙strial Almoxarifado;R$ 40,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;TÈcnico em EletrÙnica;R$ 40,00 
17/04/2021;VENTILADOR DE PAREDE;Daniel;Aprendizagem Ind˙strial AdministraÁ„o;R$ 40,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETR√îNICOS (;Daniel;Aprendizagem Ind˙strial em Mec‚nica;R$ 6.798,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETR√îNICOS (;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 6.798,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETR√îNICOS (;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 6.798,00 
15/04/2021;CONJUNTO DE COMANDOS ELETROELETR√îNICOS (;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 6.798,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;TÈcnico em MecatrÙnica;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;TÈcnico em EletrÙnica;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;TÈcnico em EletrÙnica;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 730,00 
13/04/2021;PAINEL PARA ALIMENTA√á√ÉO DE BANCADA- EDUTEC;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 730,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em MecatrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em MecatrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em MecatrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em MecatrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;TÈcnico em EletrÙnica;R$ 150,00 
07/04/2021;CARTEIRA PARA SALA DE AULA (L-166 √ÅRTICO);Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 150,00 
01/04/2021;BANCADA P/ ENSAIOS ELETROELETR√îNICOS DCE 216A;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 1.194,00 
01/04/2021;BANCADA P/ ENSAIOS ELETROELETR√îNICOS DCE 216A;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 1.194,00 
01/04/2021;BANCADA P/ ENSAIOS ELETROELETR√îNICOS DCE 216A;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 1.194,00 
01/04/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS D;Paraguassu;TÈcnico em EletrÙnica;R$ 1.194,00 
01/04/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS D;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.194,00 
01/04/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS D;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.194,00 
31/03/2021;MESA EM L COM DIVISORIA - DC 1508 BARROS;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 1.060,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS-  NJG;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.194,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS-  NJG;Paraguassu;TÈcnico em EletrÙnica;R$ 1.194,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS-  NJG;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 1.194,00 
31/03/2021;BANCADA PARA ENSAIOS ELETROELETR√îNICOS-  NJG;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.194,00 
10/03/2021;CONJ.MANIPULADOR ELETROPNEUM√ÅTICO - FESTO;Paraguassu;TÈcnico em EletrÙnica;R$ 2.740,00 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Paraguassu;TÈcnico em MecatrÙnica;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 1.669,50 
26/02/2021;MEDIDOR  POTENCIA, FASE E FATOR- MEGABRAS;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 1.669,50 
18/02/2021;CHAVES SOQUETE 10 A 32MM  24P- BELZER ITMA;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 169,24 
17/02/2021;CONJUNTO ESTUDO  CONVERSORES CA/CC BIT9;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 22.850,00 
17/02/2021;CONJUNTO ESTUDO  CONVERSORES CA/CC BIT9;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 22.850,00 
13/02/2021;IMPRESSORA JATO DE TINTA A4 - WIRELESS HP;Paraguassu;TÈcnico em EletrÙnica;R$ 585,29 
13/02/2021;IMPRESSORA JATO DE TINTA A4 - WIRELESS HP;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 585,29 
09/02/2021;L√ÅPIS ELETR.P/ GRAVAR -VIBR./MIN -110V-BOSCH;Paraguassu;TÈcnico em MecatrÙnica;R$ 78,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 385,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 385,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 385,00 
29/01/2021;MESA P/ PROFESSOR 1400X800X735MM;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 385,00 
28/01/2021;ALICATE TERROMETRO DIGITAL MRT-100;Paraguassu;TÈcnico em MecatrÙnica;R$ 1.942,50 
28/01/2021;FAS√çMETRO DIGITAL SPI 200 INSTRUTHERM;Paraguassu;TÈcnico em MecatrÙnica;R$ 129,15 
28/01/2021;FAS√çMETRO DIGITAL SPI 200 INSTRUTHERM;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 129,15 
28/01/2021;FAS√çMETRO DIGITAL SPI 200 INSTRUTHERM;Paraguassu;TÈcnico em EletrÙnica;R$ 129,15 
28/01/2021;TACOMETRO DIGITAL PORT. C/MIRA LASER TD712;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 97,75 
28/01/2021;FONTE DE ALIMENTA√á√ÉO AJUST. 0 A 30 FA3030;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 294,00 
28/01/2021;FONTE DE ALIMENTA√á√ÉO AJUST. 0 A 30 FA3030;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 294,00 
28/01/2021;FONTE DE ALIMENTA√á√ÉO AJUST. 0 A 30 FA3030;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 294,00 
28/01/2021;FONTE DE ALIMENTA√á√ÉO AJUST. 0 A 30 FA3030;Paraguassu;TÈcnico em MecatrÙnica;R$ 294,00 
28/01/2021;FONTE DE ALIMENTA√á√ÉO AJUST. 0 A 30 FA3030;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 294,00 
23/01/2021;JOGO CHAVES SOQUETES C/CABO TRAMONTINA;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 144,00 
22/01/2021;SISTEMA P/TREIN. AUTOMA√á√ÉO EL√âTRICA PREDIAL;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 5.000,00 
19/01/2021;VARIADOR DE TENS√ÉO PORTAT.TRIF√ÅSICO 6(A) YNC;Paraguassu;TÈcnico em EletrÙnica;R$ 1.149,00 
08/01/2021;ARM√ÅRIO BAIXO P.F.1000X900X550 -L-166-SCARPARO;Paraguassu;TÈcnico em EletrÙnica;R$ 387,50 
23/12/2020;TESTADOR DE P/ CABOS UTP/STP/COAX-F IDEAL;Paraguassu;TÈcnico em MecatrÙnica;R$ 1.220,00 
23/12/2020;IDENTIFICADOR VISUAL FALHAS C/FONTE IDEAL;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 1.200,00 
22/12/2020;TRANSFORMADOR TRIF√ÅSICO DID√ÅTICO OPUS;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 299,00 
22/12/2020;TRANSFORMADOR TRIF√ÅSICO DID√ÅTICO OPUS;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 299,00 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Paraguassu;TÈcnico em EletrÙnica;R$ 37,10 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 37,10 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Paraguassu;TÈcnico em MecatrÙnica;R$ 37,10 
22/12/2020;PROTOBOARD - 1600 PONTOS TOYO MSB400;Paraguassu;TÈcnico em MecatrÙnica;R$ 37,10 
22/12/2020;TERM√îMETRO DIGITAL C/MIRA LASER ICEL TD961;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 133,00 
22/12/2020;TERM√îMETRO DIGITAL C/MIRA LASER ICEL TD961;Paraguassu;TÈcnico em EletrÙnica;R$ 133,00 
22/12/2020;TERM√îMETRO DIGITAL C/MIRA LASER ICEL TD961;Paraguassu;TÈcnico em MecatrÙnica;R$ 133,00 
22/12/2020;LUXIMETRO DIGITAL ICEL LD510;Paraguassu;TÈcnico em MecatrÙnica;R$ 63,75 
22/12/2020;MEG√îHMETRO DIGITAL ICEL MG3000;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 287,00 
22/12/2020;MEG√îHMETRO DIGITAL ICEL MG3000;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 287,00 
22/12/2020;ESTA√á√ÉO DE SOLDAGEM 200 A 450 GRAUS C;Paraguassu;TÈcnico em MecatrÙnica;R$ 145,00 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Paraguassu;TÈcnico em EletrÙnica;R$ 36,30 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Paraguassu;TÈcnico em EletrÙnica;R$ 36,30 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 36,30 
10/12/2020;ALICATE DECAPADOR DE CABOS E FIOS;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 36,30 
10/12/2020;JOGO CHAVES COMBINADAS 6A32MM TRAMONTINA;Paraguassu;TÈcnico em MecatrÙnica;R$ 287,90 
10/12/2020;JOGO CHAVES COMBINADAS 1/4A1.1/4P TRAMONTINA;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 189,90 
01/12/2020;MOTOR TRIFASICO DE INDU√á√ÉO KCEL ME1977;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 217,59 
01/12/2020;MOTOR TRIFASICO DE INDU√á√ÉO KCEL ME1977;Paraguassu;TÈcnico em EletrÙnica;R$ 217,59 
27/11/2020;ALICATE UNIVERSAL 8P VONDER;Paraguassu;TÈcnico em EletrÙnica;R$ 17,90 
27/11/2020;JOGO CHAVE FIXA 12 PE√áAS 6 A 32MM - VONDER;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 92,00 
26/11/2020;ARM√ÅRIO M√âDIO 800X1000X500MM-L-022-SCARPARO;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 387,00 
26/11/2020;ARM√ÅRIO M√âDIO 800X1000X500MM-L-022-SCARPARO;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 387,00 
26/11/2020;ARM√ÅRIO M√âDIO 800X1000X500MM-L-022-SCARPARO;Paraguassu;TÈcnico em EletrÙnica;R$ 387,00 
06/11/2020;ESTA√á√ÉO ANAL. RETRABALHO SMD 110V-TOYO;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 630,00 
06/11/2020;ESTA√á√ÉO DE DESSOLDAGEM TS-700 110V- TOYO;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 806,00 
04/11/2020;CADEIRA C/P√âS TRAPEZOIDAIS PRETA-STILOFLEX;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 97,80 
04/11/2020;CADEIRA C/P√âS TRAPEZOIDAIS PRETA-STILOFLEX;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 97,80 
04/11/2020;CADEIRA C/P√âS TRAPEZOIDAIS PRETA-STILOFLEX;Paraguassu;Aprendizagem Ind˙strial Almoxarifado;R$ 97,80 
04/11/2020;CADEIRA C/P√âS TRAPEZOIDAIS PRETA-STILOFLEX;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 97,80 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 57,00 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 57,00 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Paraguassu;TÈcnico em MecatrÙnica;R$ 57,00 
04/11/2020;CADEIRA FIXA POLIPROPILENO AZUL - STILOFLEX;Paraguassu;TÈcnico em MecatrÙnica;R$ 57,00 
04/11/2020;CADEIRA GIRAT.C/BRA√áOS REG.PRETA-STILOFLEX;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 230,00 
04/11/2020;CADEIRA GIRAT.C/BRA√áOS REG.PRETA-STILOFLEX;Paraguassu;TÈcnico em EletrÙnica;R$ 230,00 
04/11/2020;CADEIRA GIRAT.C/BRA√áOS REG.PRETA-STILOFLEX;Paraguassu;TÈcnico em MecatrÙnica;R$ 230,00 
04/11/2020;CADEIRA GIRAT.S/BRA√áOS REG.PRETA-STILOFLEX;Paraguassu;TÈcnico em Desenvolvimento de Sistemas;R$ 191,00 
04/11/2020;CADEIRA GIRAT.S/BRA√áOS REG.PRETA-STILOFLEX;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 191,00 
04/11/2020;CADEIRA GIRAT.S/BRA√áOS REG.PRETA-STILOFLEX;Paraguassu;TÈcnico em EletrÙnica;R$ 191,00 
04/11/2020;CADEIRA GIRAT. S/ BRA√áOS ROYAL -STILOFLEX;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRA√áOS ROYAL -STILOFLEX;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRA√áOS ROYAL -STILOFLEX;Paraguassu;Aprendizagem Ind˙strial em Mec‚nica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRA√áOS ROYAL -STILOFLEX;Paraguassu;TÈcnico em EletrÙnica;R$ 188,00 
04/11/2020;CADEIRA GIRAT. S/ BRA√áOS ROYAL -STILOFLEX;Paraguassu;Aprendizagem Ind˙strial AdministraÁ„o;R$ 188,00 
